"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2552","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","172",".not() - remove DOM elements from set of DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","226","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","246","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-04-25","passed","2026-04-25","","","",""
"","1011",".select() - select an option in a <select> element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","154","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","175","yields the returned value to the next command","Connectors","2026-04-25","passed","2026-04-25","",".then()","",""
"","2125",".click() - click on a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","425","cy.get() - query DOM elements","Querying","2026-04-25","passed","2026-04-25","","","",""
"","47","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","164",".prev() - get previous sibling DOM element","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","1128","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-04-25","passed","2026-04-25","","","",""
"","175",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.dom","",""
"","157",".siblings() - get all sibling DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","4048",".type() - type into a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","147",".within() - query DOM elements within a specific element","Querying","2026-04-25","passed","2026-04-25","","","",""
"","226","matches unknown text between two elements","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
"","155","cy.url() - get the current URL","Location","2026-04-25","passed","2026-04-25","","","",""
"","345","cy.request() with query parameters","Network Requests","2026-04-25","passed","2026-04-25","","","",""
"","251","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-04-25","passed","2026-04-25","","","",""
"","828","cy.intercept() - route responses to matching requests","Network Requests","2026-04-25","passed","2026-04-25","","","",""
"","581","cy.request() - pass result to the second request","Network Requests","2026-04-25","passed","2026-04-25","","","",""
"","197","Get CPU architecture name of underlying OS","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.arch","",""
"","631","cy.getCookie() - get a browser cookie","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","189","invokes a callback function with the current subject","Connectors","2026-04-25","passed","2026-04-25","",".then()","",""
"","276","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","773","cy.window() - get the global window object","Window","2026-04-25","passed","2026-04-25","","","",""
"","225",".dblclick() - double click on a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","942",".uncheck() - uncheck a checkbox element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","164","Get current spec information","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.spec","",""
"","267","can check off an item as completed","example to-do app","2026-04-25","passed","2026-04-25","","","",""
"","1678","retries the should callback until assertions pass","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
