"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84","cy.wrap() - wrap an object","Misc","2026-04-25","passed","2026-04-25","","","",""
"","390","can add new todo items","example to-do app","2026-04-25","passed","2026-04-25","","","",""
"","105",".find() - get descendant DOM elements of the selector","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","110",".closest() - get closest ancestor DOM element","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","383","cy.reload() - reload the page","Navigation","2026-04-25","passed","2026-04-25","","","",""
"","91",".spread() - spread an array as individual args to callback function","Connectors","2026-04-25","passed","2026-04-25","","","",""
"","95",".siblings() - get all sibling DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","312","Cypress._ - call a lodash method","Utilities","2026-04-25","passed","2026-04-25","","","",""
"","95",".first() - get first DOM element","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","454",".as() - alias a DOM element for later use","Aliasing","2026-04-25","passed","2026-04-25","","","",""
"","84","yields the value yielded by the last Cypress command inside","Connectors","2026-04-25","passed","2026-04-25","",".then()","",""
"","184","Cypress.$ - call a jQuery method","Utilities","2026-04-25","passed","2026-04-25","","","",""
"","90",".next() - get next sibling DOM element","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","840",".select() - select an option in a <select> element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","426",".submit() - submit a form","Actions","2026-04-25","passed","2026-04-25","","","",""
"","2525","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","84",".not() - remove DOM elements from set of DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","85","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","796",".uncheck() - uncheck a checkbox element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","464","displays two todo items by default","example to-do app","2026-04-25","passed","2026-04-25","","","",""
"","88",".prevAll() - get all previous sibling DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","1082","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-04-25","passed","2026-04-25","","","",""
"","93","pass your own callback function to should()","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
"","231","cy.writeFile() - write to a file","Files","2026-04-25","passed","2026-04-25","","","",""
"","553","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-04-25","passed","2026-04-25","","","",""
"","90","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-04-25","passed","2026-04-25","","","",""
"","97","invokes a callback function with the current subject","Connectors","2026-04-25","passed","2026-04-25","",".then()","",""
"","166","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-04-25","passed","2026-04-25","","","",""
"","160",".focus() - focus on a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","3866",".type() - type into a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","345","cy.request() - verify response using BDD syntax","Network Requests","2026-04-25","passed","2026-04-25","","","",""
"","1881",".click() - click on a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","197","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-04-25","passed","2026-04-25","","","",""
"","24","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","108","yields the returned value to the next command","Connectors","2026-04-25","passed","2026-04-25","",".then()","",""
"","97",".within() - query DOM elements within a specific element","Querying","2026-04-25","passed","2026-04-25","","","",""
"","118","finds element by class name regex","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
"","239","cy.hash() - get the current URL hash","Location","2026-04-25","passed","2026-04-25","","","",""
"","792",".check() - check a checkbox or radio element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","331","cy.visit() - visit a remote url","Navigation","2026-04-25","passed","2026-04-25","","","",""
"","241","can delete all completed tasks","example to-do app","2026-04-25","passed","2026-04-25","","with a checked task","",""
"","91",".prev() - get previous sibling DOM element","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","308","cy.focused() - get the DOM element that has focus","Misc","2026-04-25","passed","2026-04-25","","","",""
"","190","cy.clearCookie() - clear a browser cookie","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","85",".last() - get last DOM element","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","1577","retries the should callback until assertions pass","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
"","87","yields the original subject without return","Connectors","2026-04-25","passed","2026-04-25","",".then()","",""
"","228",".children() - get child DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","100",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.dom","",""
"","110","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","1062","cy.exec() - execute a system command","Misc","2026-04-25","passed","2026-04-25","","","",""
"","81","Get current spec information","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.spec","",""
"","183",".rightclick() - right click on a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","2778","cy.viewport() - set the viewport size and dimension","Viewport","2026-04-25","passed","2026-04-25","","","",""
"","353","cy.fixture() - load a fixture","Files","2026-04-25","passed","2026-04-25","","","",""
"","917","cy.go() - go back or forward in the browser's history","Navigation","2026-04-25","passed","2026-04-25","","","",""
"","128",".trigger() - trigger an event on a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","91",".parent() - get parent DOM element from DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","251","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","278","cy.request() - save response in the shared test context","Network Requests","2026-04-25","passed","2026-04-25","","","",""
"","173","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","79","Get environment variables","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.env()","",""
"","227",".each() - iterate over an array of elements","Connectors","2026-04-25","passed","2026-04-25","","","",""
"","125","cy.getAllCookies() - get all browser cookies","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","473",".clear() - clears an input or textarea element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","170","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-04-25","passed","2026-04-25","","","",""
"","79","cy.url() - get the current URL","Location","2026-04-25","passed","2026-04-25","","","",""
"","171","can check off an item as completed","example to-do app","2026-04-25","passed","2026-04-25","","","",""
"","273","cy.wait() - wait for a specific route","Waiting","2026-04-25","passed","2026-04-25","","","",""
"","132",".scrollIntoView() - scroll an element into view","Actions","2026-04-25","passed","2026-04-25","","","",""
"","440","cy.intercept() - route responses to matching requests","Network Requests","2026-04-25","passed","2026-04-25","","","",""
"","87","Get CPU architecture name of underlying OS","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.arch","",""
"","4450","cy.wait() - wait for a specific amount of time","Waiting","2026-04-25","passed","2026-04-25","","","",""
"","258","cy.get() - query DOM elements","Querying","2026-04-25","passed","2026-04-25","","","",""
"","362","cy.getCookie() - get a browser cookie","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","378",".blur() - blur off a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","264",".should() - make an assertion about the current subject","Assertions","2026-04-25","passed","2026-04-25","","Implicit Assertions","",""
"","147",".and() - chain multiple assertions together","Assertions","2026-04-25","passed","2026-04-25","","Implicit Assertions","",""
"","107",".filter() - get DOM elements that match the selector","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","251","can filter for uncompleted tasks","example to-do app","2026-04-25","passed","2026-04-25","","with a checked task","",""
"","95","Get and set configuration options","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.config()","",""
"","272","cy.request() - pass result to the second request","Network Requests","2026-04-25","passed","2026-04-25","","","",""
"","2120","cy.scrollTo() - scroll the window or element to a position","Actions","2026-04-25","passed","2026-04-25","","","",""
"","86","matches unknown text between two elements","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
"","74","Get current version of Cypress being run","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.version","",""
"","89",".invoke() - invoke a function on the current subject","Connectors","2026-04-25","passed","2026-04-25","","","",""
"","251","cy.window() - get the global window object","Window","2026-04-25","passed","2026-04-25","","","",""
"","144","cy.location() - get window.location","Location","2026-04-25","passed","2026-04-25","","","",""
"","99",".nextAll() - get all next sibling DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","224","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","77","can throw any error","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
"","82","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-04-25","passed","2026-04-25","","Cypress.Screenshot","",""
"","98",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","86",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","474","cy.request() - make an XHR request","Network Requests","2026-04-25","passed","2026-04-25","","","",""
"","76","Get underlying OS name","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.platform","",""
"","161","cy.fixture() or require - load a fixture","Files","2026-04-25","passed","2026-04-25","","","",""
"","233",".add() - create a custom command","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.Commands","",""
"","101",".eq() - get a DOM element at a specific index","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","100","cy.setCookie() - set a browser cookie","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","167","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-04-25","passed","2026-04-25","","","",""
"","521",".as() - alias a route for later use","Aliasing","2026-04-25","passed","2026-04-25","","","",""
"","69","Control what is printed to the Command Log","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.log","",""
"","238","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","179","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","82","cy.title() - get the title","Window","2026-04-25","passed","2026-04-25","","","",""
"","97","expect - make an assertion about a specified subject","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
"","206",".dblclick() - double click on a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","247","can filter for completed tasks","example to-do app","2026-04-25","passed","2026-04-25","","with a checked task","",""
"","88",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","157","cy.contains() - query DOM elements with matching content","Querying","2026-04-25","passed","2026-04-25","","","",""
"","616","best practices - selecting elements","Querying","2026-04-25","passed","2026-04-25","","","",""
"","25","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","238","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-04-25","passed","2026-04-25","","","",""
"","114","cy.readFile() - read file contents","Files","2026-04-25","passed","2026-04-25","","","",""
"","89",".parents() - get parent DOM elements from DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","183","cy.request() with query parameters","Network Requests","2026-04-25","passed","2026-04-25","","","",""
"","137",".debug() - enable or disable debugging","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.Cookies","",""
"","93","cy.root() - query the root DOM element","Querying","2026-04-25","passed","2026-04-25","","","",""
"","89","cy.document() - get the document object","Window","2026-04-25","passed","2026-04-25","","","",""
"","814","cy.screenshot() - take a screenshot","Misc","2026-04-25","passed","2026-04-25","","Cypress.Screenshot","",""
"","81","assert - assert shape of an object","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
"","108",".its() - get properties on the current subject","Connectors","2026-04-25","passed","2026-04-25","","","",""
